               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.013331,           0.0092929,           0.0061883,              0.9622,              0.9579,             0.96753,             0.83289,           0.0057688,           0.0030924,          0.00069908,           0.0091288,           0.0091288,           0.0091288
                  90,            0.014109,           0.0093481,           0.0065306,              0.9631,             0.95785,             0.96729,             0.83124,           0.0058299,           0.0030957,           0.0007997,           0.0091189,           0.0091189,           0.0091189
                  91,            0.014388,           0.0094041,           0.0064634,             0.96305,             0.95894,             0.96777,              0.8313,           0.0058298,           0.0030906,          0.00063152,            0.009109,            0.009109,            0.009109
                  92,            0.013765,           0.0093252,           0.0065103,             0.96577,             0.95889,             0.96772,             0.82915,           0.0058511,           0.0030924,           0.0005999,           0.0090991,           0.0090991,           0.0090991
                  93,            0.013889,           0.0094865,           0.0066797,             0.96176,             0.95902,             0.96889,             0.83161,           0.0058236,           0.0030904,          0.00060424,           0.0090892,           0.0090892,           0.0090892
                  94,            0.013304,            0.009364,            0.006412,             0.96311,             0.96009,             0.96859,             0.83355,           0.0058474,           0.0030864,           0.0007026,           0.0090793,           0.0090793,           0.0090793
                  95,            0.013189,           0.0091404,             0.00616,              0.9681,             0.95585,              0.9692,             0.83418,           0.0058467,           0.0030842,          0.00086277,           0.0090694,           0.0090694,           0.0090694
                  96,            0.013518,            0.009131,           0.0063773,             0.96668,             0.95813,             0.96902,             0.83345,           0.0058061,           0.0030834,          0.00094417,           0.0090595,           0.0090595,           0.0090595
                  97,            0.013831,           0.0092783,           0.0064993,             0.96818,             0.95696,             0.96848,             0.83295,           0.0057722,           0.0030761,           0.0011318,           0.0090496,           0.0090496,           0.0090496
                  98,            0.013661,           0.0092433,           0.0061532,             0.96752,             0.95435,              0.9684,             0.83377,           0.0057835,           0.0030679,           0.0013217,           0.0090397,           0.0090397,           0.0090397
                  99,             0.01353,           0.0092139,           0.0062326,             0.96635,             0.95463,             0.96825,             0.83521,           0.0058036,           0.0030629,           0.0012257,           0.0090298,           0.0090298,           0.0090298
                 100,            0.013163,           0.0089425,           0.0059162,             0.96623,             0.95529,             0.96821,             0.83556,           0.0058019,           0.0030492,           0.0011043,           0.0090199,           0.0090199,           0.0090199
                 101,            0.013458,           0.0092105,           0.0066098,             0.96551,             0.95707,             0.96865,             0.83685,           0.0057962,           0.0030509,          0.00089746,             0.00901,             0.00901,             0.00901
                 102,            0.013797,           0.0092902,           0.0064088,             0.96582,             0.95418,             0.96724,             0.83492,           0.0058112,           0.0030551,          0.00083545,           0.0090001,           0.0090001,           0.0090001
                 103,            0.013499,           0.0093841,             0.00629,             0.96426,             0.95661,             0.96816,              0.8341,           0.0057975,           0.0030638,           0.0011966,           0.0089902,           0.0089902,           0.0089902
                 104,            0.014039,           0.0093091,           0.0058455,             0.96322,              0.9587,             0.96709,             0.83434,           0.0057477,             0.00307,           0.0013052,           0.0089803,           0.0089803,           0.0089803
                 105,             0.01431,           0.0093291,           0.0060783,             0.96436,             0.95937,             0.96821,             0.83484,             0.00574,           0.0030755,           0.0014256,           0.0089704,           0.0089704,           0.0089704
                 106,            0.013368,           0.0091487,            0.006263,             0.96805,             0.96092,             0.96853,             0.83434,           0.0058013,           0.0030737,           0.0015478,           0.0089605,           0.0089605,           0.0089605
                 107,            0.013849,            0.009261,           0.0064801,             0.96735,               0.962,              0.9684,              0.8356,           0.0058351,           0.0030729,           0.0014025,           0.0089506,           0.0089506,           0.0089506
                 108,            0.013417,           0.0090846,           0.0064113,             0.96553,             0.96293,             0.96739,             0.83461,           0.0058305,           0.0030759,           0.0011527,           0.0089407,           0.0089407,           0.0089407
                 109,            0.013846,           0.0093462,           0.0062265,             0.96673,             0.96298,             0.96745,             0.83592,           0.0057993,            0.003071,           0.0010423,           0.0089308,           0.0089308,           0.0089308
                 110,            0.014015,            0.009218,           0.0063438,             0.96574,             0.96191,             0.96765,             0.83661,           0.0057485,           0.0030686,           0.0010396,           0.0089209,           0.0089209,           0.0089209
                 111,            0.013869,           0.0090942,           0.0063189,             0.96521,             0.95975,             0.96794,             0.83795,           0.0057076,           0.0030689,           0.0010181,            0.008911,            0.008911,            0.008911
                 112,            0.013476,           0.0093785,            0.006309,             0.96544,             0.95933,             0.96821,             0.83754,           0.0056887,           0.0030685,          0.00099171,           0.0089011,           0.0089011,           0.0089011
                 113,            0.013649,           0.0091278,           0.0063197,             0.96747,             0.95883,             0.96803,             0.83826,           0.0057142,           0.0030666,           0.0010013,           0.0088912,           0.0088912,           0.0088912
                 114,            0.013621,            0.009256,            0.005997,             0.96657,             0.96075,             0.96847,             0.83838,           0.0057273,           0.0030687,          0.00095918,           0.0088813,           0.0088813,           0.0088813
                 115,            0.013178,           0.0091642,           0.0060141,             0.96627,             0.96022,              0.9692,             0.83857,            0.005723,           0.0030683,          0.00091795,           0.0088714,           0.0088714,           0.0088714
                 116,            0.013846,           0.0092165,           0.0063413,             0.96729,             0.95977,             0.96925,             0.83765,           0.0057465,           0.0030663,          0.00091869,           0.0088615,           0.0088615,           0.0088615
                 117,            0.013056,           0.0092362,           0.0062704,             0.96684,             0.95945,              0.9685,              0.8383,           0.0057366,           0.0030611,          0.00091149,           0.0088516,           0.0088516,           0.0088516
                 118,             0.01375,            0.009284,           0.0060026,              0.9661,              0.9581,             0.96897,             0.83819,           0.0057181,           0.0030588,          0.00087499,           0.0088417,           0.0088417,           0.0088417
                 119,            0.013292,           0.0091372,           0.0058802,             0.96482,             0.96014,             0.96825,             0.83862,            0.005726,           0.0030568,          0.00085839,           0.0088318,           0.0088318,           0.0088318
                 120,            0.013779,           0.0092781,           0.0065459,             0.96439,             0.96081,             0.96811,             0.83773,           0.0057219,           0.0030558,          0.00086208,           0.0088219,           0.0088219,           0.0088219
                 121,            0.013357,           0.0091447,           0.0059955,             0.96544,             0.96011,             0.96884,               0.839,            0.005724,           0.0030517,          0.00085868,            0.008812,            0.008812,            0.008812
                 122,            0.013972,           0.0091808,           0.0056555,             0.96403,             0.96089,             0.96815,             0.83969,           0.0057408,           0.0030498,          0.00083036,           0.0088021,           0.0088021,           0.0088021
                 123,            0.012835,           0.0090499,           0.0058425,             0.96541,             0.96129,             0.96812,             0.83943,           0.0057633,           0.0030456,          0.00085022,           0.0087922,           0.0087922,           0.0087922
                 124,            0.013299,           0.0091736,           0.0055435,              0.9674,             0.96139,             0.96807,             0.83909,            0.005767,           0.0030427,          0.00087111,           0.0087823,           0.0087823,           0.0087823
                 125,            0.013593,           0.0091348,           0.0061516,             0.96878,                0.96,             0.96817,             0.83996,           0.0057662,           0.0030386,          0.00089686,           0.0087724,           0.0087724,           0.0087724
                 126,            0.013545,            0.009156,           0.0058199,             0.96908,               0.961,             0.96807,             0.84035,           0.0057636,           0.0030354,          0.00092177,           0.0087625,           0.0087625,           0.0087625
                 127,            0.013251,           0.0090225,           0.0060346,              0.9697,             0.96122,             0.96778,              0.8402,           0.0057535,           0.0030307,          0.00099024,           0.0087526,           0.0087526,           0.0087526
                 128,             0.01358,           0.0091944,           0.0054561,             0.96964,              0.9607,             0.96788,             0.84066,           0.0057512,           0.0030298,           0.0010197,           0.0087427,           0.0087427,           0.0087427
                 129,            0.013019,           0.0090946,           0.0059616,             0.96978,             0.96109,             0.96786,             0.84087,           0.0057503,           0.0030284,          0.00099567,           0.0087328,           0.0087328,           0.0087328
                 130,             0.01334,           0.0092412,           0.0056703,              0.9699,             0.96137,             0.96801,             0.84082,           0.0057427,           0.0030258,          0.00097496,           0.0087229,           0.0087229,           0.0087229
                 131,            0.013409,           0.0091331,           0.0064838,             0.96934,             0.95976,             0.96809,             0.84062,           0.0057298,           0.0030233,          0.00093788,            0.008713,            0.008713,            0.008713
                 132,            0.013519,           0.0091881,            0.006341,             0.97019,             0.96068,             0.96882,             0.84034,           0.0057332,           0.0030214,          0.00090397,           0.0087031,           0.0087031,           0.0087031
                 133,            0.012852,           0.0092009,           0.0055826,             0.96989,             0.96051,             0.97006,             0.84099,           0.0057337,           0.0030205,          0.00087974,           0.0086932,           0.0086932,           0.0086932
